timestamp,TJ-00CB-0000048A-0000,TJ-00CB-0000047F-0000,TJ-00CB-0000047B-0000,TJ-00CB-00000480-0000,TJ-00CB-00000482-0000,TJ-00CB-00000477-0000,TJ-00CB-00000486-0000,TJ-00CB-00000488-0000,TJ-00CB-0000047D-0000,TJ-00CB-00000483-0000,TJ-00CB-00000481-0000
1763545174007,-75,-76,-72,-73,-79,-62,-73,-83,-81,-69,-95
1763545174032,-75,-76,-72,-73,-79,-62,-73,-83,-81,-69,-95
1763545174057,-75,-76,-72,-73,-79,-62,-73,-83,-81,-69,-95
1763545174082,-75,-76,-72,-73,-79,-62,-73,-83,-81,-69,-95
1763545174107,-75,-76,-72,-73,-79,-62,-73,-83,-81,-69,-95
1763545174132,-75,-76,-72,-73,-79,-62,-73,-83,-81,-69,-95
1763545174157,-75,-76,-72,-73,-79,-62,-73,-83,-81,-69,-95
1763545174182,-75,-76,-72,-73,-79,-62,-73,-83,-81,-69,-95
1763545174207,-75,-76,-72,-73,-79,-62,-73,-83,-81,-69,-95
1763545174232,-75,-76,-72,-73,-79,-62,-73,-83,-81,-69,-95
1763545174257,-75,-76,-72,-73,-79,-62,-73,-83,-81,-69,-95
1763545174282,-75,-76,-72,-73,-79,-62,-73,-83,-81,-69,-95
1763545174307,-75,-76,-72,-73,-79,-62,-73,-83,-81,-69,-95
1763545174332,-75,-76,-72,-73,-79,-62,-73,-83,-81,-69,-95
1763545174357,-75,-80,-70,-74,-80,-65,-68,-100,-82,-65,-100
1763545174382,-75,-80,-70,-74,-80,-65,-68,-100,-82,-65,-100
1763545174407,-75,-80,-70,-74,-80,-65,-68,-100,-82,-65,-100
1763545174432,-75,-80,-70,-74,-80,-65,-68,-100,-82,-65,-100
1763545174457,-75,-80,-70,-74,-80,-65,-68,-100,-82,-65,-100
1763545174482,-75,-80,-70,-74,-80,-65,-68,-100,-82,-65,-100
1763545174507,-75,-80,-70,-74,-80,-65,-68,-100,-82,-65,-100
1763545174532,-75,-80,-70,-74,-80,-65,-68,-100,-82,-65,-100
1763545174558,-75,-80,-70,-74,-80,-65,-68,-100,-82,-65,-100
1763545174583,-75,-80,-70,-74,-80,-65,-68,-100,-82,-65,-100
1763545174608,-75,-80,-70,-74,-80,-65,-68,-100,-82,-65,-100
1763545174633,-75,-80,-70,-74,-80,-65,-68,-100,-82,-65,-100
1763545174658,-75,-80,-70,-74,-80,-65,-68,-100,-82,-65,-100
1763545174683,-75,-80,-70,-74,-80,-65,-68,-100,-82,-65,-100
1763545174709,-75,-80,-70,-74,-80,-65,-68,-100,-82,-65,-100
1763545174734,-75,-80,-70,-74,-80,-65,-68,-100,-82,-65,-100
1763545174759,-75,-80,-70,-74,-80,-65,-68,-100,-82,-65,-100
1763545174784,-75,-80,-70,-74,-80,-65,-68,-100,-82,-65,-100
1763545174809,-75,-80,-70,-74,-80,-65,-68,-100,-82,-65,-100
1763545174834,-75,-80,-70,-74,-80,-65,-68,-100,-82,-65,-100
1763545174859,-75,-79,-70,-73,-79,-64,-71,-100,-79,-66,-89
1763545174885,-75,-79,-70,-73,-79,-64,-71,-100,-79,-66,-89
1763545174910,-75,-79,-70,-73,-79,-64,-71,-100,-79,-66,-89
1763545174935,-75,-79,-70,-73,-79,-64,-71,-100,-79,-66,-89
1763545174960,-75,-79,-70,-73,-79,-64,-71,-100,-79,-66,-89
1763545174985,-75,-79,-70,-73,-79,-64,-71,-100,-79,-66,-89
1763545175010,-75,-79,-70,-73,-79,-64,-71,-100,-79,-66,-89
1763545175036,-75,-79,-70,-73,-79,-64,-71,-100,-79,-66,-89
1763545175061,-75,-79,-70,-73,-79,-64,-71,-100,-79,-66,-89
1763545175086,-75,-79,-70,-73,-79,-64,-71,-100,-79,-66,-89
1763545175111,-75,-79,-70,-73,-79,-64,-71,-100,-79,-66,-89
1763545175136,-75,-79,-70,-73,-79,-64,-71,-100,-79,-66,-89
1763545175161,-75,-79,-70,-73,-79,-64,-71,-100,-79,-66,-89
1763545175186,-75,-79,-70,-73,-79,-64,-71,-100,-79,-66,-89
1763545175211,-75,-79,-70,-73,-79,-64,-71,-100,-79,-66,-89
