x,y,heading,step_length,RSSI_0,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6,RSSI_7,RSSI_8,RSSI_9,RSSI_10,RSSI_11
31.402209713983044,39.8384890604876,96.51144706425123,0.613871516350082,1763545403745,-100,-100,-100,-100,-53,-77,-100,-68,-100,-74,-100
31.285293623131246,40.52311230526774,99.69116068755814,0.6945346352726751,1763545404223,-100,-100,-100,-100,-55,-78,-100,-68,-100,-77,-100
31.206349729610434,41.12568200960907,97.4639273665674,0.6077190032525129,1763545404728,-100,-100,-100,-100,-52,-79,-100,-67,-100,-77,-100
31.073448022961827,41.75683173726539,101.89109891604498,0.6449905753968442,1763545405235,-100,-100,-100,-100,-51,-100,-100,-64,-100,-77,-100
30.98450443212894,42.43605897344593,97.46033118305645,0.6850259854339199,1763545405738,-100,-100,-100,-100,-51,-100,-100,-63,-100,-78,-100
30.856183455514234,43.10999710023939,100.78034428169225,0.6860458233858963,1763545406366,-100,-100,-100,-100,-50,-100,-100,-65,-100,-77,-100
30.757605923763865,43.71181074961539,99.30248180775511,0.6098337464762447,1763545406773,-100,-100,-100,-100,-50,-100,-100,-64,-100,-77,-100
30.58673023021543,44.38410431546908,104.26079795155609,0.6936693314064969,1763545407307,-100,-100,-100,-100,-53,-100,-100,-62,-100,-79,-100
30.478160748885514,45.07563353952527,98.92255299533645,0.7,1763545407790,-100,-100,-100,-100,-55,-100,-100,-60,-100,-80,-100
30.27855158638157,45.74657033404803,106.56817047711924,0.7,1763545408345,-100,-100,-100,-83,-53,-75,-100,-59,-100,-78,-100
30.166530187455532,46.437548775233175,99.20867061110606,0.7,1763545408823,-100,-100,-100,-83,-50,-80,-100,-57,-100,-78,-100
29.981402859626634,47.11262497277752,105.33532057579369,0.7,1763545409353,-100,-100,-100,-83,-52,-83,-100,-56,-100,-77,-100
29.860602223001806,47.71499568446388,101.33979013122388,0.6143641168773618,1763545409836,-100,-100,-100,-100,-55,-82,-100,-54,-100,-77,-100
29.7141818209918,48.39951088946317,102.07383392080203,0.7,1763545410443,-100,-100,-100,-82,-59,-79,-100,-51,-100,-77,-100
29.656531974693063,49.03413093547849,95.19058879443882,0.6372331657900024,1763545410851,-100,-100,-100,-82,-58,-78,-100,-48,-100,-76,-100
29.51340378483412,49.7141924899908,101.88521609008826,0.6949599964444007,1763545411382,-100,-100,-100,-82,-58,-79,-100,-45,-100,-75,-100
29.45567792882346,50.254652681228926,96.09657497962596,0.5435342608937493,1763545411914,-100,-100,-100,-82,-60,-79,-100,-42,-100,-75,-100
29.307942370580047,50.892593465316835,103.03881879719093,0.6548238230029393,1763545412442,-100,-100,-100,-81,-61,-78,-100,-43,-100,-75,-100
29.241537445252597,51.53124589310484,95.93609125694852,0.6420954271969667,1763545412897,-100,-100,-100,-81,-63,-81,-100,-50,-100,-76,-100
29.08957438947395,52.17506610648665,103.28064747467204,0.6615113283085865,1763545413478,-100,-100,-100,-81,-64,-79,-100,-54,-100,-77,-100
29.063618802553403,52.7651204423691,92.51872989548608,0.5906249332580448,1763545413980,-100,-100,-100,-81,-64,-78,-100,-52,-100,-78,-100
28.977469467660647,53.455206234463375,97.11591014108842,0.6954423832014021,1763545414507,-100,-100,-100,-100,-63,-79,-100,-51,-100,-77,-100
28.93345991590193,54.00296358719584,94.59356073510446,0.549522481904505,1763545415012,-100,-100,-100,-100,-63,-82,-100,-51,-100,-77,-100
28.81247928440672,54.57160889531394,102.0107330671725,0.5813723416552536,1763545415644,-100,-100,-100,-84,-66,-81,-100,-56,-100,-78,-100
28.711167548142058,55.15399469177196,99.86840909648053,0.5911322050277782,1763545416127,-100,-100,-100,-82,-67,-80,-100,-57,-100,-78,-100
28.541050139015944,55.76880089185248,105.46681265218592,0.6379079843874224,1763545416583,-100,-100,-100,-82,-66,-79,-100,-57,-100,-77,-100
28.482167123096627,56.26532157665448,96.76319140043339,0.5,1763545417084,-100,-100,-100,-82,-68,-100,-100,-59,-100,-80,-100
